x,y,width,height,score
131,95,122,122,0.690407
131,98,122,122,0.828324
131,102,122,122,0.812299
131,105,122,122,0.755229
131,108,122,122,0.632543
135,95,122,122,0.603507
135,98,122,122,0.62421
135,102,122,122,0.73262
135,105,122,122,0.66853
135,108,122,122,0.63656
138,98,122,122,0.765659
138,102,122,122,0.687057
138,105,122,122,0.746848
138,108,122,122,0.605525
138,112,122,122,0.616691
142,102,122,122,0.748848
142,105,122,122,0.617096
142,108,122,122,0.666087
120,81,146,146,0.697185
120,85,146,146,0.697047
120,89,146,146,0.676699
124,77,146,146,0.698145
124,81,146,146,0.865607
124,85,146,146,0.874728
124,89,146,146,0.888991
124,93,146,146,0.762869
124,97,146,146,0.744803
128,85,146,146,0.685094
128,89,146,146,0.754722
128,93,146,146,0.763139
128,97,146,146,0.696793
110,68,174,174,0.651902
110,72,174,174,0.616018
110,77,174,174,0.621224
115,58,174,174,0.661969
115,63,174,174,0.634547
115,68,174,174,0.775482
115,72,174,174,0.744662
115,77,174,174,0.717872
115,82,174,174,0.674954
108,57,207,207,0.682601
108,63,207,207,0.672652
108,69,207,207,0.66697
120,57,207,207,0.633282
120,69,207,207,0.612911
