,row,col,cluster,width,height,row_center,col_center
49,233,368,cluster0,62,62,264,399
65,237,329,cluster0,62,62,268,360
64,237,327,cluster0,62,62,268,358
63,237,325,cluster0,62,62,268,356
62,235,374,cluster0,62,62,266,405
36,238,332,cluster0,51,51,263,357
37,238,334,cluster0,51,51,263,359
38,238,370,cluster0,51,51,263,395
39,238,373,cluster0,51,51,263,398
40,239,332,cluster0,51,51,264,357
41,239,333,cluster0,51,51,264,358
42,239,334,cluster0,51,51,264,359
43,239,336,cluster0,51,51,264,361
44,239,337,cluster0,51,51,264,362
61,235,372,cluster0,62,62,266,403
46,245,332,cluster0,51,51,270,357
47,245,334,cluster0,51,51,270,359
48,233,329,cluster0,62,62,264,360
97,232,330,cluster0,74,74,269,367
50,235,324,cluster0,62,62,266,355
51,235,325,cluster0,62,62,266,356
52,235,327,cluster0,62,62,266,358
53,235,329,cluster0,62,62,266,360
54,235,331,cluster0,62,62,266,362
55,235,332,cluster0,62,62,266,363
56,235,334,cluster0,62,62,266,365
57,235,336,cluster0,62,62,266,367
58,235,367,cluster0,62,62,266,398
66,237,331,cluster0,62,62,268,362
59,235,368,cluster0,62,62,266,399
67,237,332,cluster0,62,62,268,363
69,238,331,cluster0,62,62,269,362
96,232,328,cluster0,74,74,269,365
95,232,326,cluster0,74,74,269,363
94,232,324,cluster0,74,74,269,361
93,232,322,cluster0,74,74,269,359
92,232,320,cluster0,74,74,269,357
91,230,370,cluster0,74,74,267,407
90,230,368,cluster0,74,74,267,405
89,230,365,cluster0,74,74,267,402
88,230,363,cluster0,74,74,267,400
87,230,361,cluster0,74,74,267,398
86,230,359,cluster0,74,74,267,396
85,230,330,cluster0,74,74,267,367
84,230,328,cluster0,74,74,267,365
83,230,326,cluster0,74,74,267,363
82,230,324,cluster0,74,74,267,361
81,230,322,cluster0,74,74,267,359
80,230,320,cluster0,74,74,267,357
79,230,318,cluster0,74,74,267,355
78,227,368,cluster0,74,74,264,405
77,227,365,cluster0,74,74,264,402
76,227,363,cluster0,74,74,264,400
75,227,361,cluster0,74,74,264,398
74,227,324,cluster0,74,74,264,361
73,242,331,cluster0,62,62,273,362
72,242,329,cluster0,62,62,273,360
71,242,327,cluster0,62,62,273,358
70,238,334,cluster0,62,62,269,365
68,237,334,cluster0,62,62,268,365
60,235,370,cluster0,62,62,266,401
0,20,224,cluster1,36,36,38,242
17,95,273,cluster1,36,36,113,291
5,27,248,cluster1,36,36,45,266
6,27,249,cluster1,36,36,45,267
10,93,273,cluster1,36,36,111,291
11,93,274,cluster1,36,36,111,292
12,93,275,cluster1,36,36,111,293
13,93,276,cluster1,36,36,111,294
14,94,274,cluster1,36,36,112,292
15,94,275,cluster1,36,36,112,293
16,94,276,cluster1,36,36,112,294
2,26,247,cluster1,36,36,44,265
18,95,274,cluster1,36,36,113,292
4,26,249,cluster1,36,36,44,267
20,95,276,cluster1,36,36,113,294
19,95,275,cluster1,36,36,113,293
3,26,248,cluster1,36,36,44,266
1,25,249,cluster1,36,36,43,267
33,114,220,cluster1,43,43,135,241
25,16,219,cluster1,43,43,37,240
26,16,220,cluster1,43,43,37,241
27,16,221,cluster1,43,43,37,242
32,114,219,cluster1,43,43,135,240
7,43,409,cluster2,36,36,61,427
8,43,410,cluster2,36,36,61,428
9,44,410,cluster2,36,36,62,428
22,116,428,cluster2,36,36,134,446
21,116,427,cluster2,36,36,134,445
29,112,425,cluster2,43,43,133,446
28,112,424,cluster2,43,43,133,445
24,116,430,cluster2,36,36,134,448
23,116,429,cluster2,36,36,134,447
31,112,427,cluster2,43,43,133,448
30,112,426,cluster2,43,43,133,447
98,161,168,cluster3,88,88,205,212
45,241,211,cluster3,51,51,266,236
34,234,117,cluster4,51,51,259,142
35,234,120,cluster4,51,51,259,145
