x,y,width,height,score
95,131,122,122,0.690318
98,131,122,122,0.828232
102,131,122,122,0.812299
105,131,122,122,0.755128
108,131,122,122,0.63254
95,135,122,122,0.603508
98,135,122,122,0.616365
102,135,122,122,0.73262
105,135,122,122,0.66981
108,135,122,122,0.63656
98,138,122,122,0.7657
102,138,122,122,0.687056
105,138,122,122,0.746869
108,138,122,122,0.60554
112,138,122,122,0.616715
102,142,122,122,0.748848
105,142,122,122,0.629567
108,142,122,122,0.666087
81,120,146,146,0.697188
85,120,146,146,0.697044
89,120,146,146,0.676699
77,124,146,146,0.698145
81,124,146,146,0.865628
85,124,146,146,0.874728
89,124,146,146,0.888965
93,124,146,146,0.762869
97,124,146,146,0.744715
85,128,146,146,0.685095
89,128,146,146,0.754735
93,128,146,146,0.763138
97,128,146,146,0.696781
68,110,174,174,0.651994
72,110,174,174,0.616192
77,110,174,174,0.621224
58,115,174,174,0.661962
63,115,174,174,0.634451
68,115,174,174,0.775447
72,115,174,174,0.744579
77,115,174,174,0.71782
82,115,174,174,0.674913
57,108,207,207,0.669234
63,108,207,207,0.677654
69,108,207,207,0.666326
57,120,207,207,0.629429
69,120,207,207,0.611482
