x,y,width,height,score
211,26,39,39,0.588464
211,27,39,39,0.634773
214,27,39,39,0.6272
87,49,39,39,0.504276
87,50,39,39,0.513849
126,140,39,39,0.502112
194,71,47,47,0.63006
116,86,47,47,0.543733
117,86,47,47,0.509751
119,86,47,47,0.577708
149,111,47,47,0.524375
152,111,47,47,0.514296
188,65,57,57,0.578248
190,65,57,57,0.575214
191,65,57,57,0.528564
185,66,57,57,0.521086
186,66,57,57,0.504056
188,66,57,57,0.666965
190,66,57,57,0.535415
185,68,57,57,0.605064
188,68,57,57,0.823645
190,68,57,57,0.660557
191,68,57,57,0.633037
188,69,57,57,0.563411
179,60,68,68,0.538284
181,60,68,68,0.592313
183,60,68,68,0.709682
185,60,68,68,0.551455
181,62,68,68,0.643113
183,62,68,68,0.70685
185,62,68,68,0.564919
